STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/18,5.82,,0.22,0,0,,46,41,,360,10,14.1,19.9,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/19,7.38,,0,0,0,,63,40,,230,200,15,25.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/20,4.7,,0,0,0,,57,48,,40,50,13,21,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/21,7.16,,0.18,0,0,,61,39,,280,280,23,36,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/22,8.05,,0,0,0,,51,36,,280,260,19.9,31.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/23,3.8,,0.13,0,0,,52,40,,50,110,8.9,15,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/24,7.16,,0.48,0,0,,49,42,,50,70,17,28,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/25,3.36,,0,0,0,,65,44,,140,160,14.1,19.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/26,10.51,,0.22,0,0,,51,42,,50,50,25.9,40,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/27,7.38,,0,0,0,,50,39,,360,360,16.1,23.9,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/28,3.8,,0,0,0,,67,41,,280,270,12.1,19.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/29,6.71,,0.01,0,0,,59,47,,60,80,16.1,23,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/30,9.17,,0.71,0,0,,60,49,,130,160,18.1,36,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/1,3.8,,0.21,0,0,,66,53,,300,300,14.1,23,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/2,6.04,,0,0,0,,73,51,,250,280,15,23,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/3,5.59,,0.04,0,0,,80,54,,220,220,14.1,21,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/4,5.82,,0,0,0,,75,50,,290,310,18.1,36.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/5,6.71,,0,0,0,,63,46,,280,250,14.1,21.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/6,5.59,,0.06,0,0,,52,45,,60,60,14.1,19.9,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/7,6.04,,0,0,0,,67,46,,290,250,14.1,23,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/8,4.25,,0.45,0,0,,57,36,,300,310,15,25.9,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/9,8.95,,0.03,0,0,,48,34,,280,280,21,36,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/10,7.38,,0,0,0,,64,39,,250,230,18.1,29.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/11,5.82,,0.05,0,0,,61,44,,270,240,19.9,36,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/12,7.83,,0,0,0,,59,43,,280,260,17,29.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/13,5.37,,0,0,0,,64,41,,280,280,13,23,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/14,2.24,,0,0,0,,67,47,,160,130,10.1,19,,,,,,,
